run,func_name,call_count,total_energy_j,total_elapsed_ns
2,_consume_async,100,0.0,90213
3,_consume_async,100,0.0,93487
1,_consume_async,100,0.0,96773
2,_consume_async,100,0.0,99540
3,_consume_async,100,0.0,94947
1,_consume_async,100,0.0,103305
2,_consume_async,100,0.0,93877
3,_consume_async,100,0.0,93990
1,_consume_async,100,0.0,96006
2,_consume_async,100,0.0,92127
3,_consume_async,100,0.0,86493
1,_consume_async,100,0.0,96786
2,_consume_async,100,0.0,91984
3,_consume_async,100,0.0,87191
1,_consume_async,100,0.0,101927
2,_consume_async,100,0.0,96519
3,_consume_async,100,0.0,85001
1,_consume_async,100,0.0,94250
2,_consume_async,100,0.0,98856
3,_consume_async,100,0.0,91145
1,_consume_async,100,0.0,102913
2,_consume_async,100,0.0,99045
3,_consume_async,100,0.0,96648
1,_consume_async,100,0.0,90550
2,_consume_async,100,0.0,93821
3,_consume_async,100,0.0,91016
1,_consume_async,100,0.0,93742
2,_consume_async,100,0.0,97723
3,_consume_async,100,0.0,92943
1,_consume_async,100,0.0,105337
2,_consume_async,100,0.0,103272
3,_consume_async,100,0.0,102644
1,_consume_async,100,0.0,95526
2,_consume_async,100,0.0,93577
3,_consume_async,100,0.0,94969
1,_consume_async,100,0.0,105425
2,_consume_async,100,0.0,96571
3,_consume_async,100,0.0,95038
1,_consume_async,100,0.0,100516
2,_consume_async,100,0.0,98155
3,_consume_async,100,0.0,88167
1,_consume_async,100,0.0,92161
2,_consume_async,100,0.0,89590
3,_consume_async,100,0.0,83238
1,_consume_async,100,0.0,103659
2,_consume_async,100,0.0,97696
3,_consume_async,100,0.0,86689
1,_consume_async,100,0.0,99114
2,_consume_async,100,0.0,97500
3,_consume_async,100,0.0,91122
1,_consume_async,100,0.0,103223
2,_consume_async,100,0.0,96548
3,_consume_async,100,0.0,93795
1,_consume_async,100,0.0,95073
2,_consume_async,100,0.0,91839
3,_consume_async,100,0.0,92672
1,_consume_async,100,0.0,97117
2,_consume_async,100,0.0,100828
3,_consume_async,100,0.0,86527
1,_consume_async,100,0.0,119353
2,_consume_async,100,0.0,96952
3,_consume_async,100,0.0,95076
1,_consume_async,100,0.0,122516
2,_consume_async,100,0.0,92798
3,_consume_async,100,0.0,99104
1,_consume_async,100,0.0,94938
2,_consume_async,100,0.0,103821
3,_consume_async,100,0.0,96587
1,_consume_async,100,0.0,95050
2,_consume_async,100,0.0,93113
3,_consume_async,100,0.0,91179
1,_consume_async,100,0.0,97919
2,_consume_async,100,0.0,95715
3,_consume_async,100,0.0,89396
1,_consume_async,100,0.0,97870
2,_consume_async,100,0.0,101064
3,_consume_async,100,0.0,95699
1,_consume_async,100,0.0,97355
2,_consume_async,100,0.0,90277
3,_consume_async,100,0.0,91893
1,_consume_async,100,0.0,93316
2,_consume_async,100,0.0,95687
3,_consume_async,100,0.0,92894
1,_consume_async,100,0.0,97212
2,_consume_async,100,0.0,96466
3,_consume_async,100,0.0,91075
