run,func_name,call_count,total_energy_j,total_elapsed_ns
2,_consume_block,100,0.0,9894290360
3,_consume_block,100,0.0,9899931909
1,_consume_block,100,0.0,9897486989
2,_consume_block,100,0.0,9912581835
3,_consume_block,100,0.0,9924063828
1,_consume_block,100,0.0,9893099909
2,_consume_block,100,0.0,9898623348
3,_consume_block,100,0.0,9900560172
1,_consume_block,100,0.0,9896066472
2,_consume_block,100,0.0,9899802353
3,_consume_block,100,0.0,9920580766
1,_consume_block,100,0.0,9910149521
2,_consume_block,100,0.0,9904889694
3,_consume_block,100,0.0,9901637494
1,_consume_block,100,0.0,9900554520
2,_consume_block,100,0.0,9904355383
3,_consume_block,100,0.0,9901878962
1,_consume_block,100,0.0,9896934987
2,_consume_block,100,0.0,9897437885
3,_consume_block,100,0.0,9903908816
1,_consume_block,100,0.0,9892222286
2,_consume_block,100,0.0,9896788222
3,_consume_block,100,0.0,9897748808
1,_consume_block,100,0.0,9896343402
2,_consume_block,100,0.0,9898970133
3,_consume_block,100,0.0,9900308792
1,_consume_block,100,0.0,9896554452
2,_consume_block,100,0.0,9914705277
3,_consume_block,100,0.0,9925509996
1,_consume_block,100,0.0,9901029404
2,_consume_block,100,0.0,9899423467
3,_consume_block,100,0.0,9922421593
1,_consume_block,100,0.0,9927109404
2,_consume_block,100,0.0,9928690162
3,_consume_block,100,0.0,9928051611
