run,func_name,call_count,total_energy_j,total_elapsed_ns
2,_consume_spin,100,0.0,10381952766
3,_consume_spin,100,0.0,10384845531
1,_consume_spin,100,0.0,10383985932
2,_consume_spin,100,0.0,10386137011
3,_consume_spin,100,0.0,10384757020
1,_consume_spin,100,0.0,10380708828
2,_consume_spin,100,0.0,10380017484
3,_consume_spin,100,0.0,10382097047
1,_consume_spin,100,0.0,10382132409
2,_consume_spin,100,0.0,10384916662
3,_consume_spin,100,0.0,10382453242
1,_consume_spin,100,0.0,10396010389
2,_consume_spin,100,0.0,10398506998
3,_consume_spin,100,0.0,10396110326
1,_consume_spin,100,0.0,10384078767
2,_consume_spin,100,0.0,10385321015
3,_consume_spin,100,0.0,10383687802
1,_consume_spin,100,0.0,10388586154
2,_consume_spin,100,0.0,10383419581
3,_consume_spin,100,0.0,10381866441
1,_consume_spin,100,0.0,10381118267
2,_consume_spin,100,0.0,10383180811
3,_consume_spin,100,0.0,10383475673
1,_consume_spin,100,0.0,10394767661
2,_consume_spin,100,0.0,10397045444
3,_consume_spin,100,0.0,10397423891
1,_consume_spin,100,0.0,10380037381
2,_consume_spin,100,0.0,10383592182
3,_consume_spin,100,0.0,10382640801
1,_consume_spin,100,0.0,10383121333
2,_consume_spin,100,0.0,10385636921
3,_consume_spin,100,0.0,10384977389
1,_consume_spin,100,0.0,10383679757
2,_consume_spin,100,0.0,10395948731
3,_consume_spin,100,0.0,10397085156
1,_consume_spin,100,0.0,10381909324
2,_consume_spin,100,0.0,10384025359
3,_consume_spin,100,0.0,10383047988
1,_consume_spin,100,0.0,10391028377
2,_consume_spin,100,0.0,10382204012
3,_consume_spin,100,0.0,10382887722
1,_consume_spin,100,0.0,10384662102
2,_consume_spin,100,0.0,10385504672
3,_consume_spin,100,0.0,10385213544
1,_consume_spin,100,0.0,10382244026
2,_consume_spin,100,0.0,10382858694
3,_consume_spin,100,0.0,10383868173
1,_consume_spin,100,0.0,10382899015
2,_consume_spin,100,0.0,10382035753
3,_consume_spin,100,0.0,10383676102
1,_consume_spin,100,0.0,10383967650
2,_consume_spin,100,0.0,10385161369
3,_consume_spin,100,0.0,10385128865
1,_consume_spin,100,0.0,10381223730
2,_consume_spin,100,0.0,10383187073
3,_consume_spin,100,0.0,10382810476
1,_consume_spin,100,0.0,10381728320
2,_consume_spin,100,0.0,10382058473
3,_consume_spin,100,0.0,10384030245
