run_uuid,energy_j,elapsed_ns,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,mem_delta_bytes,ctx_voluntary,ctx_involuntary,io_read_calls,io_write_calls,nvme_nvme0n1_data_units_read_delta,nvme_nvme0n1_data_units_written_delta
608a7f60-3bcd-40f0-8d93-51e82bbc49f4,57782689.0,1854724727,11.179999999998472,0.1499999999999985,0.5399999999999636,10.94999999999709,0.0499999999999971,0.0,0.0,0.0,0.0,0.0,0,62,0,8645,75,0,0
7bd158cf-1172-482b-810a-3742e64e31d0,57476110.0,1836914915,11.25,0.0,0.4800000000000182,10.869999999995343,0.0399999999999991,0.0,0.0,0.0,0.0,0.0,0,57,0,8645,75,0,1
4a6aeafe-4876-4b34-979b-b7e56108523a,57971287.0,1863484045,11.360000000000582,0.0,0.4900000000000091,11.110000000000582,0.0500000000000042,0.0,0.0,0.0,0.0,0.0,0,66,0,8645,75,0,0
521746e8-2c48-4bbc-bca6-f82944fddec1,57409704.0,1844584271,11.199999999998909,0.1600000000000001,0.5600000000001728,10.770000000004076,0.0499999999999971,0.0,0.0,0.0,0.0,0.0,0,62,0,8645,75,0,0
37f82af6-8732-4f77-9e30-2baf23810bc7,57363134.0,1862787713,11.1299999999992,0.0,0.5699999999999363,11.24000000000524,0.0399999999999991,0.0,0.0,0.0,0.0,0.0,0,55,0,8645,75,0,0
16128a68-e923-4960-9a4d-854376c28f96,57685460.0,1843049663,11.210000000000946,0.0,0.4900000000000091,11.0,0.0500000000000042,0.0,0.0,0.0,0.0,0.0,0,67,0,8645,75,0,0
7e152724-062a-47d6-a7cf-32d074d1f19d,58392795.0,1856677851,11.299999999999272,0.1499999999999985,0.5399999999999636,10.960000000006405,0.0700000000000002,0.0,0.0,0.0,0.0,0.0,0,63,0,8645,75,0,1
f6a6be25-2c24-4c53-8c1b-183738e775db,57821811.0,1841110598,11.159999999999854,0.0,0.4900000000000091,11.039999999993595,0.0400000000000062,0.0,0.0,0.0,0.0,0.0,0,59,0,8645,75,0,0
b7914168-6d29-475f-aa8c-12cac7379be4,57623144.0,1824392188,11.069999999999707,0.0,0.5,10.910000000003492,0.0499999999999971,0.0,0.0,0.0,0.0,0.0,131072,61,0,8645,75,0,0
88183e0f-4f36-4fa5-9a04-506e1071203f,57467199.0,1890061883,11.19000000000051,0.1500000000000021,0.5499999999999545,11.5,0.0600000000000022,0.0,0.0,0.0,0.0,0.0,0,64,0,8645,75,0,1
